age,pop
0,5356
1,5419
2,5312
3,5381
4,5657
5,5845
6,5941
7,5710
8,5863
9,5669
10,5590
11,5571
12,5309
13,5137
14,4988
15,4958
16,4608
17,4542
18,4717
19,4914
20,5350
21,5787
22,6137
23,6655
24,6684
25,6706
26,6517
27,6651
28,6725
29,6684
30,6905
31,7139
32,6996
33,6966
34,7039
35,7293
36,7169
37,7285
38,6936
39,7029
40,6761
41,6434
42,6259
43,5922
44,5851
45,5668
46,5763
47,5727
48,5756
49,5888
50,5863
51,5471
52,5244
53,4984
54,4752
55,4933
56,4563
57,4698
58,4618
59,4706
60,4512
61,4280
62,4166
63,4041
64,3935
65,3832
66,3551
67,3566
68,3512
69,3427
70,3345
71,3241
72,3240
73,3191
74,3294
75,2696
76,2381
77,2243
78,1974
79,1938
80,1679
81,1590
82,1467
83,1326
84,1246
85,1097
86,985
87,829
88,687
89,643
90,594
91,469
92,398
93,325
94,216
95,224
96,148
97,115
98,90
99,30
100 and over,87
